Source,Reference,Score_Ada,Score_Small,Score_Large
Development aid’s fu...,"Se7en 
-Movie Review...",0.70455945,0.13578798,0.16260736
Development aid’s fu...,Bangladesh's pharmac...,0.78672874,0.38946983,0.3555329
Development aid’s fu...,Reserves drop to $19...,0.7765482,0.34362948,0.29067993
Development aid’s fu...,Telecom policy to un...,0.8003131,0.34617472,0.33675593
Development aid�s fu...,"Se7en 
-Movie Review...",0.7047168,0.12018027,0.1500595
Development aid�s fu...,Bangladesh's pharmac...,0.78660095,0.41481617,0.3665751
Development aid�s fu...,Reserves drop to $19...,0.7751415,0.34705225,0.2815361
Development aid�s fu...,Telecom policy to un...,0.8032169,0.35495213,0.3369646
"""Women are being sub...","Se7en 
-Movie Review...",0.72627336,0.31114033,0.21273834
"""Women are being sub...",Bangladesh's pharmac...,0.72613174,0.2493353,0.27861133
"""Women are being sub...",Reserves drop to $19...,0.7160998,0.19087848,0.21978906
"""Women are being sub...",Telecom policy to un...,0.7524697,0.2879646,0.32838073
Role of men and wome...,"Se7en 
-Movie Review...",0.70389944,0.17185065,0.1054468
Role of men and wome...,Bangladesh's pharmac...,0.7046951,0.1668326,0.13285862
Role of men and wome...,Reserves drop to $19...,0.69208217,0.16688582,0.1459633
Role of men and wome...,Telecom policy to un...,0.7366338,0.21894374,0.19223884
