Source,Reference,Score_Ada,Score_Small,Score_Large
ahad,man,0.77902216,0.32697916,0.3151759
ahad,woman,0.7783355,0.28617138,0.24991965
ahad,boy,0.768403,0.27347443,0.25650263
naeem,man,0.7794533,0.24306588,0.27114502
naeem,woman,0.7826478,0.2541561,0.24046734
naeem,boy,0.77634287,0.1834547,0.2674405
mona,man,0.7859737,0.26765984,0.33905044
mona,woman,0.81622577,0.31990096,0.36361912
mona,boy,0.7745024,0.20498261,0.27566653
faraz,man,0.7760259,0.28755134,0.2894863
faraz,woman,0.782863,0.27143762,0.23160978
faraz,boy,0.77699894,0.2813461,0.26229933
